suburb,local_goverment_area,postcode
East Albury,Albury (City),2640
Lavington,Albury (City),2641
Glenroy,Albury (City),2640
Albury,Albury (City),2640
North Albury,Albury (City),2640
Table Top,Albury (City),2640
Splitters Creek,Albury (City),2640
West Albury,Albury (City),2640
Springdale Heights,Albury (City),2641
Thurgoona,Albury (City),2640
South Albury,Albury (City),2640
Wirlinga,Albury (City),2640
Hamilton Valley,Albury (City),2641
Jindera,Greater Hume Shire (Area),2642
Armidale,Armidale Regional (Area),2350
Boorolong,Armidale Regional (Area),2350
Dumaresq,Armidale Regional (Area),2350
Duval,Armidale Regional (Area),2350
Donald Creek,Armidale Regional (Area),2350
Black Mountain,Armidale Regional (Area),2365
Aberfoyle,Armidale Regional (Area),2350
Thalgarrah,Armidale Regional (Area),2350
Wollomombi,Armidale Regional (Area),2350
Jeogla,Armidale Regional (Area),2350
Ebor,Armidale Regional (Area),2453
Dangarsleigh,Armidale Regional (Area),2350
Metz,Armidale Regional (Area),2350
Hillgrove,Armidale Regional (Area),2350
Castle Doyle,Armidale Regional (Area),2350
Enmore,Armidale Regional (Area),2350
Lower Creek,Armidale Regional (Area),2440
Carrai,Armidale Regional (Area),2440
Tilbuster,Armidale Regional (Area),2350
Kellys Plains,Armidale Regional (Area),2350
Wongwibinda,Armidale Regional (Area),2350
Lyndhurst,Armidale Regional (Area),2350
Puddledock,Armidale Regional (Area),2350
Croydon Park,Inner West (Area),2133
Croydon,Inner West (Area),2132
Ashfield,Inner West (Area),2131
Haberfield,Inner West (Area),2045
Summer Hill,Inner West (Area),2130
Hurlstone Park,Inner West (Area),2193
Ashbury,Inner West (Area),2193
Guyong,Cabonne (Area),2798
Newington,Parramatta (City),2127
Lidcombe,Cumberland (Area),2141
Berala,Cumberland (Area),2141
Auburn,Cumberland (Area),2144
Sydney Olympic Park,Parramatta (City),2127
Silverwater,Parramatta (City),2128
Regents Park,Cumberland (Area),2143
Wentworth Point,Parramatta (City),2127
Rookwood,Cumberland (Area),2141
East Ballina,Ballina (Area),2478
Tintenbar,Ballina (Area),2478
Cumbalum,Ballina (Area),2478
Broken Head,Ballina (Area),2481
Lennox Head,Ballina (Area),2478
Newrybar,Ballina (Area),2479
Knockrow,Ballina (Area),2479
Skennars Head,Ballina (Area),2478
Wardell,Ballina (Area),2477
West Ballina,Ballina (Area),2478
Alstonvale,Ballina (Area),2477
East Wardell,Ballina (Area),2477
Wollongbar,Ballina (Area),2477
Bagotville,Ballina (Area),2477
Ballina,Ballina (Area),2478
Fernleigh,Ballina (Area),2479
Meerschaum Vale,Ballina (Area),2477
Keith Hall,Ballina (Area),2478
South Ballina,Ballina (Area),2478
Teven,Ballina (Area),2478
Alstonville,Ballina (Area),2477
Cabbage Tree Island,Ballina (Area),2477
Goat Island,Ballina (Area),2477
Pimlico Island,Ballina (Area),2478
Pimlico,Ballina (Area),2478
Rous Mill,Ballina (Area),2477
Dalwood,Ballina (Area),2477
Marom Creek,Ballina (Area),2480
Patchs Beach,Ballina (Area),2478
Rous,Ballina (Area),2477
Lynwood,Ballina (Area),2477
Uralba,Ballina (Area),2477
Empire Vale,Ballina (Area),2478
Tuckombil,Ballina (Area),2477
Brooklet,Ballina (Area),2479
Coolgardie,Ballina (Area),2478
McLeans Ridges,Ballina (Area),2480
Euston,Balranald (Area),2737
Balranald,Balranald (Area),2715
Hatfield,Balranald (Area),2715
Oxley,Balranald (Area),2711
Ivanhoe,Balranald (Area),2878
Mossgiel,Balranald (Area),2878
Corrong,Balranald (Area),2711
Arumpo,Balranald (Area),2715
Hornsby,Hornsby (Area),2077
Clare,Balranald (Area),2711
Kyalite,Balranald (Area),2715
Mungo,Balranald (Area),2715
Booligal,Balranald (Area),2711
Condell Park,Canterbury-Bankstown (Area),2200
Bankstown,Canterbury-Bankstown (Area),2200
Punchbowl,Canterbury-Bankstown (Area),2196
Mount Lewis,Canterbury-Bankstown (Area),2190
Greenacre,Canterbury-Bankstown (Area),2190
Yagoona,Canterbury-Bankstown (Area),2199
Chullora,Canterbury-Bankstown (Area),2190
Bonny Hills,Port Macquarie-Hastings (Area),2445
Georges Hall,Canterbury-Bankstown (Area),2198
Villawood,Canterbury-Bankstown (Area),2163
Bass Hill,Canterbury-Bankstown (Area),2197
Chester Hill,Canterbury-Bankstown (Area),2162
Sefton,Canterbury-Bankstown (Area),2162
Revesby,Canterbury-Bankstown (Area),2212
Lansdowne,Canterbury-Bankstown (Area),2163
Potts Hill,Canterbury-Bankstown (Area),2143
Birrong,Canterbury-Bankstown (Area),2143
Bankstown Aerodrome,Canterbury-Bankstown (Area),2200
Milperra,Canterbury-Bankstown (Area),2214
East Hills,Canterbury-Bankstown (Area),2213
Panania,Canterbury-Bankstown (Area),2213
Picnic Point,Canterbury-Bankstown (Area),2213
Revesby Heights,Canterbury-Bankstown (Area),2212
Padstow,Canterbury-Bankstown (Area),2211
Padstow Heights,Canterbury-Bankstown (Area),2211
Eglinton,Bathurst Regional (Area),2795
West Bathurst,Bathurst Regional (Area),2795
Bathurst,Bathurst Regional (Area),2795
South Bathurst,Bathurst Regional (Area),2795
Kelso,Bathurst Regional (Area),2795
Raglan,Bathurst Regional (Area),2795
Mount Panorama,Bathurst Regional (Area),2795
Mitchell,Bathurst Regional (Area),2795
White Rock,Bathurst Regional (Area),2795
Windradyne,Bathurst Regional (Area),2795
Gormans Hill,Bathurst Regional (Area),2795
Orton Park,Bathurst Regional (Area),2795
Forest Grove,Bathurst Regional (Area),2795
Llanarth,Bathurst Regional (Area),2795
Abercrombie,Bathurst Regional (Area),2795
Robin Hill,Bathurst Regional (Area),2795
Laffing Waters,Bathurst Regional (Area),2795
Georges Plains,Bathurst Regional (Area),2795
Wimbledon,Bathurst Regional (Area),2795
