A;RTSALEDATA;118;20251222 01:09;VALNET;
B;118;1253119;1;20251222 01:09;MOORILDA ORCHARD;;548;MOORILDA RD;BARRY;2799;9.66;H;20251112;20251216;835000;RU1;R;RESIDENCE;;RHE;;;AV722946;
C;118;1253119;1;20251222 01:09;11/789557;
D;118;1253119;1;20251222 01:09;P;;;;;;
D;118;1253119;1;20251222 01:09;V;;;;;;
B;118;1251132;2;20251222 01:09;;;25;MOUNT ERROL ST;BLAYNEY;2799;977;M;20251112;20251217;630000;R1;R;RESIDENCE;;BAJ;;;AV729024;
C;118;1251132;2;20251222 01:09;132/253126;
D;118;1251132;2;20251222 01:09;P;;;;;;
D;118;1251132;2;20251222 01:09;V;;;;;;
D;118;1251132;2;20251222 01:09;V;;;;;;
B;118;1251181;3;20251222 01:09;;;51;OGILVY ST;BLAYNEY;2799;507.9;M;20251126;20251218;220000;E1;R;RESIDENCE;;EBC;;;AV735945;
C;118;1251181;3;20251222 01:09;22/561246;
D;118;1251181;3;20251222 01:09;P;;;;;;
D;118;1251181;3;20251222 01:09;V;;;;;;
B;118;1252298;4;20251222 01:09;;;5;WILLIAM ST;MILLTHORPE;2798;2023;M;20250902;20251218;1055000;R1;R;RESIDENCE;;MRA;;;AV733987;
C;118;1252298;4;20251222 01:09;26, 27/G/3361;
D;118;1252298;4;20251222 01:09;P;;;;;;
D;118;1252298;4;20251222 01:09;P;;;;;;
D;118;1252298;4;20251222 01:09;V;;;;;;
B;118;1250151;5;20251222 01:09;;;465;WALDEGRAVE RD;FOREST REEFS;2798;42.88;H;20251119;20251218;2000000;RU1;R;RESIDENCE;;RHN;;;AV734356;
C;118;1250151;5;20251222 01:09;4/667468;
D;118;1250151;5;20251222 01:09;P;;;;;;
D;118;1250151;5;20251222 01:09;P;;;;;;
D;118;1250151;5;20251222 01:09;V;;;;;;
D;118;1250151;5;20251222 01:09;V;;;;;;
B;118;1250207;6;20251222 01:09;;;1877;ERROWANBANG RD;ERROWANBANG;2791;6.475;H;20251110;20251218;1550000;RU1;R;RESIDENCE;;RHN;;;AV736560;
C;118;1250207;6;20251222 01:09;9/872886;
D;118;1250207;6;20251222 01:09;P;;;;;;
D;118;1250207;6;20251222 01:09;V;;;;;;
D;118;1250207;6;20251222 01:09;V;;;;;;
B;118;3094791;7;20251222 01:09;;;10;BLAKE ST;MILLTHORPE;2798;696.2;M;20251117;20251215;685000;RU5;R;RESIDENCE;;MCC;;;AV714041;
C;118;3094791;7;20251222 01:09;92/1068468;
D;118;3094791;7;20251222 01:09;P;;;;;;
D;118;3094791;7;20251222 01:09;P;;;;;;
D;118;3094791;7;20251222 01:09;V;;;;;;
B;118;4502068;8;20251222 01:09;;;111;PRESCOT ST;LYNDHURST;2797;1.113;H;20251024;20251215;740000;RU1;R;RESIDENCE;;RHS;;;AV715882;
C;118;4502068;8;20251222 01:09;82, 83/750393;
D;118;4502068;8;20251222 01:09;P;;;;;;
D;118;4502068;8;20251222 01:09;P;;;;;;
D;118;4502068;8;20251222 01:09;V;;;;;;
B;118;3221720;9;20251222 01:09;;;16;BLUETT CL;FOREST REEFS;2798;3.451;H;20251113;20251212;1200000;R5;R;RESIDENCE;;RVP;;;AV708846;
C;118;3221720;9;20251222 01:09;7/1090642;
D;118;3221720;9;20251222 01:09;P;;;;;;
D;118;3221720;9;20251222 01:09;P;;;;;;
D;118;3221720;9;20251222 01:09;V;;;;;;
B;118;2863040;10;20251222 01:09;;;271;OLD LACHLAN RD;HOBBYS YARDS;2795;17.81;H;20251127;20251218;880000;RU1;R;RESIDENCE;;RHE;;;AV737730;
C;118;2863040;10;20251222 01:09;372/750411;
D;118;2863040;10;20251222 01:09;P;;;;;;
D;118;2863040;10;20251222 01:09;P;;;;;;
D;118;2863040;10;20251222 01:09;V;;;;;;
B;118;4489398;11;20251222 01:09;;;11;HOYNES CCT;BLAYNEY;2799;450.1;M;20251128;20251217;190000;R1;V;VACANT LAND;;BAQ;;;AV729688;
C;118;4489398;11;20251222 01:09;31/1277266;
D;118;4489398;11;20251222 01:09;P;;;;;;
D;118;4489398;11;20251222 01:09;V;;;;;;
B;118;4482486;12;20251222 01:09;;;13;STARR PL;BLAYNEY;2799;848.8;M;20251121;20251212;240000;R1;R;RESIDENCE;;BAL;;;AV706566;
C;118;4482486;12;20251222 01:09;17/1293777;
D;118;4482486;12;20251222 01:09;P;;;;;;
D;118;4482486;12;20251222 01:09;V;;;;;;
Z;59;12;12;33;
